"Destination","Protocol"
"157.240.212.60","TCP"
"157.240.212.60","TCP"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TCP"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TCP"
"157.240.212.60","TLSv1.3"
"157.240.212.60","TCP"
"157.240.212.60","TCP"
"157.240.212.60","TCP"
"34.117.237.239","TCP"
"34.117.237.239","TCP"
"34.117.237.239","TLSv1.3"
"34.117.237.239","TLSv1.3"
"34.117.237.239","TLSv1.3"
"34.117.237.239","TLSv1.3"
"142.250.200.86","TLSv1.2"
"142.250.200.86","TLSv1.2"
"142.250.200.86","TCP"
"34.117.237.239","TLSv1.3"
"142.250.200.86","TCP"
"34.117.237.239","TCP"
"34.117.237.239","TLSv1.3"
"172.217.168.174","TLSv1.2"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"142.250.200.110","TLSv1.2"
"142.250.200.110","TLSv1.2"
"172.217.168.174","TCP"
"142.250.184.3","TLSv1.2"
"142.250.184.3","TLSv1.2"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"142.250.178.174","TLSv1.2"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"142.250.200.110","TCP"
"142.250.200.110","TLSv1.2"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"142.250.184.3","TCP"
"142.250.184.3","TLSv1.2"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"142.250.184.3","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
"172.217.168.174","TCP"
